STT,Tên sản phẩm,Danh mục,Phân loại da,Giá bán (VNĐ),Thành phần chính,Công dụng chính,URL Hình ảnh,URL Trang gốc
20,Tinh Chất L'Oreal Revitalift 1.5% HA,Serum,"Khô, Lão hóa",450000,1.5% Hyaluronic Acid nguyên chất,"Cấp ẩm làm căng bóng, giảm nếp nhăn",img_loreal_ha.jpg,hasaki.vn/loreal-ha
21,Tinh Chất Skin1004 Madagascar Centella,Serum,Nhạy cảm,400000,100% Chiết xuất rau má Madagascar,"Làm dịu kích ứng, phục hồi da mỏng",img_skin1004_centella.jpg,hasaki.vn/skin1004-centella
22,Tinh Chất Kiehl's Clearly Corrective,Serum,Mọi loại da,1500000,"Vitamin C thế hệ mới, Chiết xuất mẫu đơn","Trị thâm nám, dưỡng trắng sáng da",img_kiehls_darkspot.jpg,hasaki.vn/kiehls-darkspot
23,Tinh Chất balance Active Formula Vitamin C,Serum,"Khô, Hỗn hợp",180000,"6% Illumiscin, 3% Stay-C 50","Làm sáng da, mờ thâm giá sinh viên",img_balance_vitc.jpg,hasaki.vn/balance-vitc
24,Kem Chống Nắng La Roche-Posay Anthelios,Sunscreen,"Dầu, Mụn",450000,"Mexoryl SX/XL, Nước khoáng LRP","Chống nắng phổ rộng, kiềm dầu tốt",img_lrp_anthelios.jpg,hasaki.vn/lrp-anthelios
25,Sữa Chống Nắng Anessa Perfect UV,Sunscreen,Mọi loại da,550000,"Zinc Oxide, Titanium Dioxide, Collagen","Chống UV tối ưu, công nghệ chống nước",img_anessa_perfectuv.jpg,hasaki.vn/anessa-perfectuv
26,Tinh Chất Chống Nắng Skin Aqua Tone Up,Sunscreen,Hỗn hợp,180000,"Vitamin C, Pearl Powder, HA","Nâng tone da hồng hào, chống nắng",img_skinaqua_toneup.jpg,hasaki.vn/skinaqua-toneup
27,Kem Chống Nắng Cell Fusion C Laser,Sunscreen,Nhạy cảm,600000,"Zinc Oxide, Collagen, Peptide","Bảo vệ và phục hồi da sau treatment",img_cellfusionc.jpg,hasaki.vn/cellfusionc
28,Gel Chống Nắng Eucerin Sun Dry Touch,Sunscreen,"Dầu, Mụn",500000,"Licochalcone A, Carnitine","Kiểm soát bóng nhờn, ngừa sinh mụn",img_eucerin_drytouch.jpg,hasaki.vn/eucerin-drytouch
29,Kem Chống Nắng Vichy Capital Soleil,Sunscreen,Hỗn hợp,480000,"Màng lọc Mexoryl, Nước khoáng Vichy","Bảo vệ da khỏi tia UV và bụi mịn",img_vichy_soleil.jpg,hasaki.vn/vichy-soleil
30,Kem Chống Nắng Skin1004 Centella Air-Fit,Sunscreen,Nhạy cảm,350000,"Zinc Oxide, Chiết xuất rau má","Chống nắng vật lý, dịu nhẹ màng ẩm",img_skin1004_sunscreen.jpg,hasaki.vn/skin1004-sunscreen
